统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-07-13,00-23,210213,2858615630,2863543713,0.998279026446278
nf固网关联率,2025-07-13,00-23,220214,1736544900,1764006183,0.9844324338176087
nf固网关联率,2025-07-13,00-23,230215,1634008791,1852944539,0.8818444139088181
nf移网关联率,2025-07-13,00-23,210213,1144892894,1161042643,0.9860903050397263
nf移网关联率,2025-07-13,00-23,220214,1019922714,1049435383,0.9718775739049005
nf移网关联率,2025-07-13,00-23,230215,800742858,805857310,0.9936534024863534
pr固网关联率,2025-07-13,00-23,210213,450344998,457088886,0.9852460031154641
pr固网关联率,2025-07-13,00-23,220214,318809600,324938714,0.9811376307718138
pr固网关联率,2025-07-13,00-23,230215,141255763,144630390,0.9766672343205325
pr移网关联率,2025-07-13,00-23,210213,212021693,212150497,0.9993928649622725
pr移网关联率,2025-07-13,00-23,220214,131175592,131180527,0.9999623800870994
pr移网关联率,2025-07-13,00-23,230215,57040272,57048777,0.9998509170494575
nf固网关联准确率,2025-07-13,00-23,210213,805270098,806422000,0.9985715890687507
nf固网关联准确率,2025-07-13,00-23,220214,511691041,633155698,0.8081598927662181
nf固网关联准确率,2025-07-13,00-23,230215,448258430,449297530,0.9976872786280396
nf移网关联准确率,2025-07-13,00-23,210213,660068636,660354268,0.9995674564187113
nf移网关联准确率,2025-07-13,00-23,220214,433227292,538519488,0.8044783924328472
nf移网关联准确率,2025-07-13,00-23,230215,428495492,429243966,0.9982562969796063
pr固网关联准确率,2025-07-13,00-23,210213,125077777,125093439,0.9998747975903037
pr固网关联准确率,2025-07-13,00-23,220214,97205680,97219447,0.999858392529223
pr固网关联准确率,2025-07-13,00-23,230215,52747325,52758077,0.9997962018213817
pr移网关联准确率,2025-07-13,00-23,210213,113229429,113283056,0.9995266105815507
pr移网关联准确率,2025-07-13,00-23,220214,73225676,73252111,0.9996391230281404
pr移网关联准确率,2025-07-13,00-23,230215,34674784,34693326,0.9994655456210799
