统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-07-20,00-23,210213,2858940289,2861344735,0.9991596797231075
nf固网关联率,2025-07-20,00-23,220214,1928330326,2029023324,0.9503736616484553
nf固网关联率,2025-07-20,00-23,230215,2202931552,2206019411,0.9986002575568452
nf移网关联率,2025-07-20,00-23,210213,1329451421,1350430491,0.9844649020147161
nf移网关联率,2025-07-20,00-23,220214,1152020791,1182942989,0.9738599422900844
nf移网关联率,2025-07-20,00-23,230215,850154999,857539728,0.9913884701094572
pr固网关联率,2025-07-20,00-23,210213,350542639,354231615,0.9895859775249027
pr固网关联率,2025-07-20,00-23,220214,511394664,516374741,0.9903556920883548
pr固网关联率,2025-07-20,00-23,230215,152919238,155284992,0.9847650827711669
pr移网关联率,2025-07-20,00-23,210213,106035912,106142770,0.9989932616230008
pr移网关联率,2025-07-20,00-23,220214,247063290,247332369,0.9989120752730913
pr移网关联率,2025-07-20,00-23,230215,61959440,61978303,0.9996956515572877
nf固网关联准确率,2025-07-20,00-23,210213,1668864235,1672946122,0.9975600606939331
nf固网关联准确率,2025-07-20,00-23,220214,828514374,1172473208,0.7066382142865989
nf固网关联准确率,2025-07-20,00-23,230215,1345623337,1347807014,0.9983798296215128
nf移网关联准确率,2025-07-20,00-23,210213,1128973951,1133334432,0.9961525204944978
nf移网关联准确率,2025-07-20,00-23,220214,838587957,996984151,0.8411246619706796
nf移网关联准确率,2025-07-20,00-23,230215,745396065,746845126,0.9980597570372308
pr固网关联准确率,2025-07-20,00-23,210213,209126069,209179863,0.9997428337545091
pr固网关联准确率,2025-07-20,00-23,220214,298911906,299009749,0.9996727765555229
pr固网关联准确率,2025-07-20,00-23,230215,95884389,95899422,0.9998432420166203
pr移网关联准确率,2025-07-20,00-23,210213,90877198,90945744,0.9992462978806353
pr移网关联准确率,2025-07-20,00-23,220214,211654454,211698085,0.9997938998834118
pr移网关联准确率,2025-07-20,00-23,230215,54203743,54228800,0.9995379392499926
