统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-07-03,00-08,210213,347787618,353810984,0.9829757518212041
nf固网关联率,2025-07-03,00-08,220214,206791310,223021127,0.9272274460347427
nf固网关联率,2025-07-03,00-08,230215,152083157,158344262,0.9604589081983912
nf固网关联准确率,2025-07-03,00-08,210213,65307222,65426987,0.9981694862396766
nf固网关联准确率,2025-07-03,00-08,220214,46947205,54006923,0.8692812401106429
nf固网关联准确率,2025-07-03,00-08,230215,42120748,42239321,0.997192828928287
统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-07-03,00-12,210213,915124196,930828095,0.9831291093550415
nf固网关联率,2025-07-03,00-12,220214,672728284,714843529,0.9410846663759895
统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-07-03,00-12,210213,920445305,936174984,0.9831979285188847
nf固网关联率,2025-07-03,00-12,220214,676815282,719071669,0.9412348047882833
nf固网关联率,2025-07-03,00-12,230215,555241164,571727056,0.9711647510346265
统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf移网关联率,2025-07-03,00-12,210213,446192433,453668374,0.9835211325530926
nf移网关联率,2025-07-03,00-12,220214,457082621,467195611,0.9783538420269963
统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-07-03,00-12,210213,1794298269,1853814335,0.9678953469738921
nf固网关联率,2025-07-03,00-12,220214,885035476,949614736,0.9319942524565036
nf固网关联率,2025-07-03,00-12,230215,794275992,820046030,0.9685748884120565
nf移网关联率,2025-07-03,00-12,210213,580562337,591059076,0.9822407955038321
nf移网关联率,2025-07-03,00-12,220214,506740596,517818799,0.9786060239191895
nf移网关联率,2025-07-03,00-12,230215,356358910,358878478,0.9929793282282032
pr固网关联率,2025-07-03,00-12,210213,5117815,5146015,0.994520031519535
pr固网关联率,2025-07-03,00-12,220214,2999589,3021208,0.9928442530272659
pr固网关联率,2025-07-03,00-12,230215,2102672,2115086,0.9941307351095889
pr移网关联率,2025-07-03,00-12,210213,54211354,54244646,0.9993862620100793
pr移网关联率,2025-07-03,00-12,220214,33634281,33637294,0.9999104268018706
pr移网关联率,2025-07-03,00-12,230215,14483645,14487208,0.9997540588911266
统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-07-03,00-12,210213,1790732229,1850248295,0.9678334706964289
nf固网关联率,2025-07-03,00-12,220214,884280668,948859928,0.931940154606255
nf固网关联率,2025-07-03,00-12,230215,794219884,819989922,0.9685727381415304
nf移网关联率,2025-07-03,00-12,210213,580562337,591059076,0.9822407955038321
nf移网关联率,2025-07-03,00-12,220214,506740596,517818799,0.9786060239191895
nf移网关联率,2025-07-03,00-12,230215,356358910,358878478,0.9929793282282032
pr固网关联率,2025-07-03,00-12,210213,189663229,192823279,0.9836116779240125
pr固网关联率,2025-07-03,00-12,220214,139190033,141601538,0.9829697824327304
pr固网关联率,2025-07-03,00-12,230215,59149711,61066431,0.968612542625915
pr移网关联率,2025-07-03,00-12,210213,91903172,91966812,0.9993080112421424
pr移网关联率,2025-07-03,00-12,220214,56187862,56191993,0.9999264841878807
pr移网关联率,2025-07-03,00-12,230215,23404477,23409097,0.9998026408280507
统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
