统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-07-10,00-23,210213,3296910285,3424606079,0.9627122679063609
nf固网关联率,2025-07-10,00-23,220214,1631622354,1678154015,0.9722721153219063
nf固网关联率,2025-07-10,00-23,230215,1349694551,1629405544,0.8283355583083741
nf移网关联率,2025-07-10,00-23,210213,1267090107,1287983847,0.9837779487307499
nf移网关联率,2025-07-10,00-23,220214,1040115363,1063389333,0.9781134065598155
nf移网关联率,2025-07-10,00-23,230215,807326945,812147266,0.9940647205232357
pr固网关联率,2025-07-10,00-23,210213,427860900,433890286,0.9861038926324338
pr固网关联率,2025-07-10,00-23,220214,324066030,327928702,0.9882210005515162
pr固网关联率,2025-07-10,00-23,230215,142099326,145091323,0.9793785256200331
pr移网关联率,2025-07-10,00-23,210213,210340597,210461079,0.9994275331069646
pr移网关联率,2025-07-10,00-23,220214,130502335,130510927,0.9999341664319035
pr移网关联率,2025-07-10,00-23,230215,58069799,58077418,0.999868813038486
统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-07-10,00-23,210213,3296910285,3424606079,0.9627122679063609
nf固网关联率,2025-07-10,00-23,220214,1631622354,1678154015,0.9722721153219063
nf固网关联率,2025-07-10,00-23,230215,1349694551,1629405544,0.8283355583083741
nf移网关联率,2025-07-10,00-23,210213,1267090107,1287983847,0.9837779487307499
nf移网关联率,2025-07-10,00-23,220214,1040115363,1063389333,0.9781134065598155
nf移网关联率,2025-07-10,00-23,230215,807326945,812147266,0.9940647205232357
pr固网关联率,2025-07-10,00-23,210213,427879936,433909735,0.9861035636824327
pr固网关联率,2025-07-10,00-23,220214,324066048,327928721,0.9882209981845415
pr固网关联率,2025-07-10,00-23,230215,142099330,145091327,0.9793785261885433
pr移网关联率,2025-07-10,00-23,210213,210346915,210467401,0.9994275312973528
pr移网关联率,2025-07-10,00-23,220214,130502337,130510929,0.9999341664329123
pr移网关联率,2025-07-10,00-23,230215,58069799,58077418,0.999868813038486
nf固网关联准确率,2025-07-10,00-23,210213,816594967,829231681,0.984760936793007
nf固网关联准确率,2025-07-10,00-23,220214,562240125,648556872,0.8669095175357266
nf固网关联准确率,2025-07-10,00-23,230215,445679369,446602573,0.9979328287479436
nf移网关联准确率,2025-07-10,00-23,210213,705808493,712531802,0.9905641980033335
nf移网关联准确率,2025-07-10,00-23,220214,463090891,543917105,0.8513997569537733
nf移网关联准确率,2025-07-10,00-23,230215,429594202,430209385,0.9985700381687396
pr固网关联准确率,2025-07-10,00-23,210213,121298395,121312239,0.9998858812588564
pr固网关联准确率,2025-07-10,00-23,220214,99306075,99320375,0.9998560214860244
pr固网关联准确率,2025-07-10,00-23,230215,53847491,53857955,0.9998057111526051
pr移网关联准确率,2025-07-10,00-23,210213,112263549,112316702,0.9995267578280566
pr移网关联准确率,2025-07-10,00-23,220214,72794290,72819447,0.999654529098525
pr移网关联准确率,2025-07-10,00-23,230215,35396074,35415009,0.9994653396812634
