统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-07-16,00-23,210213,269859780,270248537,0.9985614834244227
nf固网关联率,2025-07-16,00-23,220214,361279654,422154722,0.8557991541309823
nf固网关联率,2025-07-16,00-23,230215,461822520,462561940,0.9984014681363538
nf移网关联率,2025-07-16,00-23,210213,237064258,239694703,0.9890258526071809
nf移网关联率,2025-07-16,00-23,220214,46689101,51172127,0.9123932057778251
nf移网关联率,2025-07-16,00-23,230215,371476400,372654716,0.9968380488709554
pr固网关联率,2025-07-16,00-23,210213,444647501,466895570,0.9523489396140554
pr固网关联率,2025-07-16,00-23,220214,220136582,230465501,0.955182363715253
pr固网关联率,2025-07-16,00-23,230215,231980281,239780798,0.9674681331238209
pr移网关联率,2025-07-16,00-23,210213,160844222,162366923,0.9906218522106255
pr移网关联率,2025-07-16,00-23,220214,111860103,112761027,0.9920103246310448
pr移网关联率,2025-07-16,00-23,230215,100868245,101640034,0.9924066436262703
nf固网关联准确率,2025-07-16,00-23,210213,625120760,626181669,0.9983057488704608
nf固网关联准确率,2025-07-16,00-23,220214,585851889,627981224,0.9329130658849125
nf固网关联准确率,2025-07-16,00-23,230215,766608020,768194831,0.9979343638671269
nf移网关联准确率,2025-07-16,00-23,210213,577261466,577540575,0.9995167283268366
nf移网关联准确率,2025-07-16,00-23,220214,469599875,509647545,0.9214208517378417
nf移网关联准确率,2025-07-16,00-23,230215,848649815,849698861,0.9987653908365072
pr固网关联准确率,2025-07-16,00-23,210213,272713320,272842384,0.9995269649894277
pr固网关联准确率,2025-07-16,00-23,220214,138896911,138915785,0.9998641335108174
pr固网关联准确率,2025-07-16,00-23,230215,144838449,144877879,0.9997278397483994
pr移网关联准确率,2025-07-16,00-23,210213,136160302,136227517,0.9995065974813298
pr移网关联准确率,2025-07-16,00-23,220214,92616294,92633124,0.9998183155304143
pr移网关联准确率,2025-07-16,00-23,230215,87774964,87802566,0.9996856356111505
