统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-07-12,00-23,210213,2748613653,2764880412,0.9941166500621872
nf固网关联率,2025-07-12,00-23,220214,1703905937,1726468499,0.9869313792791072
nf固网关联率,2025-07-12,00-23,230215,1109439121,1236954183,0.896912057251194
nf移网关联率,2025-07-12,00-23,210213,1037376425,1054789750,0.9834911886468369
nf移网关联率,2025-07-12,00-23,220214,1026068997,1049107287,0.9780401010597498
nf移网关联率,2025-07-12,00-23,230215,782716516,787138860,0.9943817486027815
pr固网关联率,2025-07-12,00-23,210213,440378448,443593632,0.9927519608757593
pr固网关联率,2025-07-12,00-23,220214,316605168,318705142,0.9934109189866789
pr固网关联率,2025-07-12,00-23,230215,140098099,142295341,0.9845585808744083
pr移网关联率,2025-07-12,00-23,210213,203917539,204037293,0.999413077882777
pr移网关联率,2025-07-12,00-23,220214,125935682,125940542,0.9999614103614068
pr移网关联率,2025-07-12,00-23,230215,57041568,57055564,0.9997546952651278
nf固网关联准确率,2025-07-12,00-23,210213,696035770,696672131,0.9990865703224175
nf固网关联准确率,2025-07-12,00-23,220214,539365119,644869716,0.8363939344920331
nf固网关联准确率,2025-07-12,00-23,230215,435542999,436010408,0.9989279865998061
nf移网关联准确率,2025-07-12,00-23,210213,578009148,578242389,0.9995966380112614
nf移网关联准确率,2025-07-12,00-23,220214,444456988,541448375,0.8208667871613798
nf移网关联准确率,2025-07-12,00-23,230215,425700562,425947452,0.9994203745113611
pr固网关联准确率,2025-07-12,00-23,210213,124497692,124514245,0.999867059387462
pr固网关联准确率,2025-07-12,00-23,220214,99492660,99508594,0.9998398731269381
pr固网关联准确率,2025-07-12,00-23,230215,52986704,52998557,0.9997763524014437
pr移网关联准确率,2025-07-12,00-23,210213,108148238,108200925,0.9995130633125364
pr移网关联准确率,2025-07-12,00-23,220214,70744720,70769666,0.9996475043417613
pr移网关联准确率,2025-07-12,00-23,230215,34680223,34699006,0.9994586876638484
