统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-07-14,00-23,210213,2289587660,2292389936,0.9987775744623579
nf固网关联率,2025-07-14,00-23,220214,1662054067,1716306524,0.968389995469131
nf固网关联率,2025-07-14,00-23,230215,1678108488,1727939101,0.9711618233703018
nf移网关联率,2025-07-14,00-23,210213,1021270460,1035614536,0.9861492133401264
nf移网关联率,2025-07-14,00-23,220214,797705722,814153949,0.9797971538181411
nf移网关联率,2025-07-14,00-23,230215,926052357,931952503,0.9936690486038643
pr固网关联率,2025-07-14,00-23,210213,496079918,504392807,0.9835190175501451
pr固网关联率,2025-07-14,00-23,220214,252443863,256874273,0.9827526129874439
pr固网关联率,2025-07-14,00-23,230215,247596962,251104085,0.9860331901808765
pr移网关联率,2025-07-14,00-23,210213,181683963,181805795,0.9993298783462871
pr移网关联率,2025-07-14,00-23,220214,121984617,121991617,0.999942619007993
pr移网关联率,2025-07-14,00-23,230215,111845280,111852237,0.9999378018698007
nf固网关联准确率,2025-07-14,00-23,210213,694188477,695268611,0.9984464507919515
nf固网关联准确率,2025-07-14,00-23,220214,501629927,621493228,0.8071365936106387
nf固网关联准确率,2025-07-14,00-23,230215,522804995,524638052,0.9965060540442843
nf移网关联准确率,2025-07-14,00-23,210213,589954808,590222603,0.9995462813544604
nf移网关联准确率,2025-07-14,00-23,220214,382324997,471157049,0.8114597835508559
nf移网关联准确率,2025-07-14,00-23,230215,469659283,471911483,0.995227494813895
pr固网关联准确率,2025-07-14,00-23,210213,142448880,142469528,0.9998550707629213
pr固网关联准确率,2025-07-14,00-23,220214,84111815,84122618,0.9998715803162475
pr固网关联准确率,2025-07-14,00-23,230215,77954795,77967716,0.9998342775617539
pr移网关联准确率,2025-07-14,00-23,210213,98173801,98234393,0.9993831895515454
pr移网关联准确率,2025-07-14,00-23,220214,68267853,68282893,0.9997797398537288
pr移网关联准确率,2025-07-14,00-23,230215,65444813,65469396,0.999624511580953
