统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-07-06,00-23,210213,3301296241,3413884862,0.9670203813100947
nf固网关联率,2025-07-06,00-23,220214,1635798760,1832098859,0.8928550727294569
nf固网关联率,2025-07-06,00-23,230215,1430645110,1529224717,0.9355362191677157
nf移网关联率,2025-07-06,00-23,210213,1099907677,1115208978,0.9862794316564406
nf移网关联率,2025-07-06,00-23,220214,1010572357,1034606603,0.9767696765801522
nf移网关联率,2025-07-06,00-23,230215,786312894,790950096,0.9941371749956776
pr固网关联率,2025-07-06,00-23,210213,9289020,9311811,0.9975524632104324
pr固网关联率,2025-07-06,00-23,220214,5367534,5386410,0.9964956251009485
pr固网关联率,2025-07-06,00-23,230215,3805446,3814563,0.997609949029548
pr移网关联率,2025-07-06,00-23,210213,118098372,118167357,0.9994162093343596
pr移网关联率,2025-07-06,00-23,220214,75288921,75292177,0.9999567551353974
pr移网关联率,2025-07-06,00-23,230215,35087973,35092584,0.9998686047171675
