统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-07-11,00-23,210213,3999265766,4005793713,0.9983703736468469
nf固网关联率,2025-07-11,00-23,220214,1838107479,1862952345,0.9866637136120624
nf固网关联率,2025-07-11,00-23,230215,1609137201,1695797538,0.948897002703397
nf移网关联率,2025-07-11,00-23,210213,1160594085,1178386474,0.9849010580208001
nf移网关联率,2025-07-11,00-23,220214,949245858,971283272,0.9773110331091958
nf移网关联率,2025-07-11,00-23,230215,761060833,765492714,0.9942104204012058
pr固网关联率,2025-07-11,00-23,210213,420822821,423640900,0.9933479534199837
pr固网关联率,2025-07-11,00-23,220214,313122590,315177257,0.9934809160421115
pr固网关联率,2025-07-11,00-23,230215,138794663,140436542,0.9883087480180194
pr移网关联率,2025-07-11,00-23,210213,194392937,194495344,0.9994734732570256
pr移网关联率,2025-07-11,00-23,220214,118682313,118686918,0.9999612004416527
pr移网关联率,2025-07-11,00-23,230215,55247091,55255576,0.9998464408370298
nf固网关联准确率,2025-07-11,00-23,210213,847123616,847914570,0.9990671772511233
nf固网关联准确率,2025-07-11,00-23,220214,539500568,630787185,0.8552814337849935
nf固网关联准确率,2025-07-11,00-23,230215,435043006,435736081,0.998409415629733
nf移网关联准确率,2025-07-11,00-23,210213,650648712,650919379,0.9995841773824343
nf移网关联准确率,2025-07-11,00-23,220214,418217979,492656899,0.8489031207091652
nf移网关联准确率,2025-07-11,00-23,230215,404229147,404907025,0.9983258428277455
pr固网关联准确率,2025-07-11,00-23,210213,117798417,117811955,0.9998850880625825
pr固网关联准确率,2025-07-11,00-23,220214,96663363,96676358,0.9998655824415728
pr固网关联准确率,2025-07-11,00-23,230215,53026554,53038104,0.9997822320345388
pr移网关联准确率,2025-07-11,00-23,210213,101798896,101847425,0.9995235127446767
pr移网关联准确率,2025-07-11,00-23,220214,65382595,65405420,0.9996510228051436
pr移网关联准确率,2025-07-11,00-23,230215,33192951,33210473,0.9994723953495032
