统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-07-08,00-23,210213,3008667920,3108111748,0.9680050667213012
nf固网关联率,2025-07-08,00-23,220214,927988948,1069953269,0.8673172697227396
nf固网关联率,2025-07-08,00-23,230215,1311835672,1415560241,0.9267254292712224
nf移网关联率,2025-07-08,00-23,210213,1218978023,1237506254,0.9850277677869417
nf移网关联率,2025-07-08,00-23,220214,591804231,603965293,0.979864634373949
nf移网关联率,2025-07-08,00-23,230215,819925308,824482477,0.9944726915039093
pr固网关联率,2025-07-08,00-23,210213,432540883,438394843,0.9866468319747091
pr固网关联率,2025-07-08,00-23,220214,327811880,331890580,0.9877107087522641
pr固网关联率,2025-07-08,00-23,230215,146910741,149640586,0.9817573221746138
pr移网关联率,2025-07-08,00-23,210213,210713926,210840264,0.9994007880771768
pr移网关联率,2025-07-08,00-23,220214,130992273,130998033,0.9999560298741279
pr移网关联率,2025-07-08,00-23,230215,59078155,59086113,0.999865315222208
