统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-06-18,00-12,210213,1282291757,1327909241,0.9656471371750925
nf固网关联率,2025-06-18,00-12,220214,923320508,1034903988,0.8921798724385629
nf固网关联率,2025-06-18,00-12,230215,707769042,746825272,0.9477036577840928
nf固网关联准确率,2025-06-18,00-12,210213,112946117,113132051,0.9983564869693735
nf固网关联准确率,2025-06-18,00-12,220214,96535403,128826005,0.7493471756731104
nf固网关联准确率,2025-06-18,00-12,230215,88684552,88827346,0.9983924545038191
nf移网关联率,2025-06-18,00-12,210213,455943044,463401898,0.983904135843656
nf移网关联率,2025-06-18,00-12,220214,459123942,482918519,0.9507275532748828
nf移网关联率,2025-06-18,00-12,230215,314442115,316840785,0.9924294152976549
