统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-07-18,00-23,210213,1549802269,2895409693,0.5352618224449661
nf固网关联率,2025-07-18,00-23,220214,1018252021,1662006737,0.6126641958371316
nf固网关联率,2025-07-18,00-23,230215,1517730886,2372046560,0.6398402592906945
nf移网关联率,2025-07-18,00-23,210213,1013312195,1077936320,0.940048290607742
nf移网关联率,2025-07-18,00-23,220214,611919662,657466572,0.9307236109944765
nf移网关联率,2025-07-18,00-23,230215,822678913,856706456,0.9602809775020535
pr固网关联率,2025-07-18,00-23,210213,422802990,425530503,0.9935903231830128
pr固网关联率,2025-07-18,00-23,220214,307985275,310386861,0.9922626041828491
pr固网关联率,2025-07-18,00-23,230215,201925495,203058634,0.9944196462978274
pr移网关联率,2025-07-18,00-23,210213,135416418,135618490,0.9985099966826058
pr移网关联率,2025-07-18,00-23,220214,134862053,134991085,0.9990441442855282
pr移网关联率,2025-07-18,00-23,230215,88562831,88657161,0.9989360137530233
nf固网关联准确率,2025-07-18,00-23,210213,963854323,965705157,0.9980834378002602
nf固网关联准确率,2025-07-18,00-23,220214,752546212,774042131,0.9722290064854364
nf固网关联准确率,2025-07-18,00-23,230215,1111114883,1112490197,0.998763751803199
nf移网关联准确率,2025-07-18,00-23,210213,895887984,900765569,0.9945850672274087
nf移网关联准确率,2025-07-18,00-23,220214,514369390,562307331,0.9147477929644847
nf移网关联准确率,2025-07-18,00-23,230215,737956278,739142292,0.9983954185644136
pr固网关联准确率,2025-07-18,00-23,210213,236445885,236509296,0.9997318879169975
pr固网关联准确率,2025-07-18,00-23,220214,212236440,212295621,0.9997212330630221
pr固网关联准确率,2025-07-18,00-23,230215,116712447,116728426,0.9998631096079373
pr移网关联准确率,2025-07-18,00-23,210213,109686747,109747452,0.9994468664292999
pr移网关联准确率,2025-07-18,00-23,220214,115577144,115597148,0.9998269507479545
pr移网关联准确率,2025-07-18,00-23,230215,75006233,75030790,0.9996727076977332
