统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-07-19,00-23,210213,2490270804,2599304285,0.9580528214302544
nf固网关联率,2025-07-19,00-23,220214,1894970942,2074280188,0.9135559183193626
nf固网关联率,2025-07-19,00-23,230215,2100160876,2150905505,0.9764077831954779
nf移网关联率,2025-07-19,00-23,210213,1178065376,1204798673,0.9778109840265403
nf移网关联率,2025-07-19,00-23,220214,921090411,957063840,0.9624127174212328
nf移网关联率,2025-07-19,00-23,230215,831537876,843474583,0.985848172261997
pr固网关联率,2025-07-19,00-23,210213,346482145,348985730,0.9928261106836661
pr固网关联率,2025-07-19,00-23,220214,507258643,510635494,0.9933869638133694
pr固网关联率,2025-07-19,00-23,230215,151628951,152853591,0.991988150281664
pr移网关联率,2025-07-19,00-23,210213,99636207,99750767,0.9988515376528383
pr移网关联率,2025-07-19,00-23,220214,226023308,226146481,0.999455339745039
pr移网关联率,2025-07-19,00-23,230215,64585139,64614555,0.999544746535823
nf固网关联准确率,2025-07-19,00-23,210213,1305652510,1309112950,0.9973566528388556
nf固网关联准确率,2025-07-19,00-23,220214,1049295241,1127820255,0.9303745311791727
nf固网关联准确率,2025-07-19,00-23,230215,1300539041,1302978846,0.9981275175667741
nf移网关联准确率,2025-07-19,00-23,210213,987194035,992031865,0.995123311890793
nf移网关联准确率,2025-07-19,00-23,220214,685462618,781112902,0.8775461476118339
nf移网关联准确率,2025-07-19,00-23,230215,726855290,728798594,0.9973335513871752
pr固网关联准确率,2025-07-19,00-23,210213,214360291,214382483,0.9998964840798117
pr固网关联准确率,2025-07-19,00-23,220214,303720205,303795603,0.9997518133927699
pr固网关联准确率,2025-07-19,00-23,230215,97195082,97219489,0.9997489495136104
pr移网关联准确率,2025-07-19,00-23,210213,83527428,83585349,0.9993070436303376
pr移网关联准确率,2025-07-19,00-23,220214,187918331,187958678,0.9997853411163065
pr移网关联准确率,2025-07-19,00-23,230215,55313263,55338422,0.9995453610874556
