统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-07-07,00-23,210213,2334480491,2432552250,0.9596835961077507
nf固网关联率,2025-07-07,00-23,220214,1602847127,1805178833,0.8879159769097514
nf固网关联率,2025-07-07,00-23,230215,1435642354,1553482191,0.9241447132881873
nf移网关联率,2025-07-07,00-23,210213,1211805363,1227539636,0.9871822688746158
nf移网关联率,2025-07-07,00-23,220214,1062962970,1085726201,0.9790340962767279
nf移网关联率,2025-07-07,00-23,230215,814323088,819352053,0.9938622659434527
pr固网关联率,2025-07-07,00-23,210213,9591006,9626236,0.9963402102337819
pr固网关联率,2025-07-07,00-23,220214,5522719,5550302,0.9950303605101127
pr固网关联率,2025-07-07,00-23,230215,3769387,3783286,0.9963262095437669
pr移网关联率,2025-07-07,00-23,210213,123806882,123881563,0.999397158074281
pr移网关联率,2025-07-07,00-23,220214,78529961,78533266,0.9999579159231707
pr移网关联率,2025-07-07,00-23,230215,36478545,36484472,0.9998375473269834
