统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-07-21,00-23,210213,2862024507,2864718427,0.9990596213664108
nf固网关联率,2025-07-21,00-23,220214,1870709030,1922617605,0.9730010924351231
nf固网关联率,2025-07-21,00-23,230215,1537171653,1543102835,0.9961563274556487
nf移网关联率,2025-07-21,00-23,210213,1309107236,1328311556,0.9855423075156925
nf移网关联率,2025-07-21,00-23,220214,1133272672,1238327037,0.9151642806293666
nf移网关联率,2025-07-21,00-23,230215,816812421,821820658,0.9939059246670823
pr固网关联率,2025-07-21,00-23,210213,361060099,365142094,0.9888208041004443
pr固网关联率,2025-07-21,00-23,220214,499432312,504096617,0.9907472003526657
pr固网关联率,2025-07-21,00-23,230215,146638938,148726939,0.985960841969591
pr移网关联率,2025-07-21,00-23,210213,102004586,102107887,0.9989883151729504
pr移网关联率,2025-07-21,00-23,220214,236274713,236404967,0.9994490217288878
pr移网关联率,2025-07-21,00-23,230215,57776642,57795327,0.999676703966049
nf固网关联准确率,2025-07-21,00-23,210213,1690183721,1694096703,0.9976902251252419
nf固网关联准确率,2025-07-21,00-23,220214,967038955,1111104845,0.8703399677822483
nf固网关联准确率,2025-07-21,00-23,230215,807444605,808584890,0.9985897770115393
nf移网关联准确率,2025-07-21,00-23,210213,1105724955,1109113628,0.9969447016838927
nf移网关联准确率,2025-07-21,00-23,220214,817658386,935086996,0.8744195882283449
