统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-07-09,00-09,210213,NULL,NULL,NULL
nf固网关联率,2025-07-09,00-09,220214,NULL,NULL,NULL
nf固网关联率,2025-07-09,00-09,230215,NULL,NULL,NULL
nf固网关联准确率,2025-07-09,00-09,210213,NULL,NULL,NULL
nf固网关联准确率,2025-07-09,00-09,220214,NULL,NULL,NULL
nf固网关联准确率,2025-07-09,00-09,230215,NULL,NULL,NULL
nf移网关联率,2025-07-09,00-09,210213,NULL,NULL,NULL
nf移网关联率,2025-07-09,00-09,220214,NULL,NULL,NULL
nf移网关联率,2025-07-09,00-09,230215,NULL,NULL,NULL
nf移网关联准确率,2025-07-09,00-09,210213,NULL,NULL,NULL
nf移网关联准确率,2025-07-09,00-09,220214,NULL,NULL,NULL
nf移网关联准确率,2025-07-09,00-09,230215,NULL,NULL,NULL
统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-07-09,00-09,210213,319977060,338923804,0.9440973346327719
nf固网关联率,2025-07-09,00-09,220214,260765112,270864273,0.9627150495406974
nf固网关联率,2025-07-09,00-09,230215,393731593,405831772,0.9701842491523803
nf固网关联准确率,2025-07-09,00-09,210213,74050205,74172854,0.9983464435654587
nf固网关联准确率,2025-07-09,00-09,220214,59531769,69930921,0.8512939361974083
nf固网关联准确率,2025-07-09,00-09,230215,56913249,57052922,0.9975518694730482
nf移网关联率,2025-07-09,00-09,210213,239140862,243378125,0.9825897952003698
nf移网关联率,2025-07-09,00-09,220214,193524241,198514800,0.9748605192156957
nf移网关联率,2025-07-09,00-09,230215,182760620,183926944,0.9936587648626403
nf移网关联准确率,2025-07-09,00-09,210213,100813766,100892464,0.9992199813853292
nf移网关联准确率,2025-07-09,00-09,220214,66872187,76982550,0.8686668212471528
统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-07-09,00-23,210213,2429791503,2550817864,0.9525538993951471
nf固网关联率,2025-07-09,00-23,220214,2072649212,2125746200,0.9750219532322344
nf固网关联率,2025-07-09,00-23,230215,1572499069,1688374123,0.9313688521865601
nf移网关联率,2025-07-09,00-23,210213,1233941739,1251718262,0.9857983033884985
nf移网关联率,2025-07-09,00-23,220214,1023522181,1048094137,0.9765555830029417
nf移网关联率,2025-07-09,00-23,230215,812243617,817078941,0.9940821825684527
pr固网关联率,2025-07-09,00-23,210213,436219822,442128999,0.9866347219626732
pr固网关联率,2025-07-09,00-23,220214,329896472,333897997,0.9880157262518708
pr固网关联率,2025-07-09,00-23,230215,147439693,150215596,0.98152054065012
pr移网关联率,2025-07-09,00-23,210213,212349451,212493502,0.9993220922115539
pr移网关联率,2025-07-09,00-23,220214,131877192,131882277,0.9999614428859156
pr移网关联率,2025-07-09,00-23,230215,59116170,59124312,0.999862290152315
